"project","directory","files","year","horizontal_epsg","horizontal_projection","geometry"
"FL_Osceola_2015","s3://spotable-geo-us-west-2/dtm/us/FL_Osceola_2015","61","2015","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.79737978 27.57372920, -80.79585563 28.38618314, -81.51035396 28.38538042, -81.51078718 28.47564411, -81.71509086 28.47472332, -81.71327981 28.20393894, -81.61138784 28.20443211, -81.61087514 28.11416639, -81.50906623 28.11458213, -81.50821761 27.93404396, -81.40657643 27.93438156, -81.40623933 27.84410941, -81.30468086 27.84437100, -81.30442920 27.75409667, -81.20295344 27.75428281, -81.20262022 27.57372920, -80.79737978 27.57372920)))"
"FL_PalmBeachCo_2016","s3://spotable-geo-us-west-2/dtm/us/FL_PalmBeachCo_2016","67","2016","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-79.99819442 26.30636491, -79.99186561 27.02857486, -80.69754249 27.03185976, -80.69802399 26.85128888, -80.79868203 26.85146799, -80.79884141 26.76118012, -80.89942052 26.76128717, -80.89981337 26.30982851, -79.99819442 26.30636491)))"
"FL_Panhandle_B1_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Panhandle_B1_2018","46","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-83.27235050 29.63049537, -83.27438015 29.72067461, -83.17106254 29.72240999, -83.17496432 29.90277705, -83.38196082 29.89919988, -83.37981982 29.80902998, -83.48321089 29.80712668, -83.47877363 29.62679656, -83.27235050 29.63049537)), ((-81.10455671 30.82308273, -81.00000000 30.82312491, -81.00000000 30.73288956, -80.05992022 30.72948495, -80.05904253 30.81970815, -79.95450566 30.81890678, -79.95254210 30.99934362, -80.16201235 31.00087286, -80.16122152 31.09109477, -81.00000000 31.09382341, -81.00000000 31.00359184, -81.10475312 31.00354935, -81.10455671 30.82308273)))"
"FL_Panhandle_B2_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Panhandle_B2_2018","95","2018","EPSG:26916","NAD83 / UTM zone 16N","SRID=4326;MULTIPOLYGON (((-84.61372792 30.07953556, -84.60718736 30.35002873, -84.39928943 30.34605625, -84.39689880 30.43620359, -84.29287053 30.43408601, -84.28786496 30.61436124, -84.18365623 30.61214510, -84.18103994 30.70227263, -84.59832750 30.71066684, -84.59608744 30.80082288, -84.90945190 30.80625867, -84.90355311 31.07677655, -85.53227501 31.08546833, -85.54048276 30.54423660, -85.43626310 30.54302685, -85.44199433 30.18219683, -85.23433801 30.17956542, -85.23594327 30.08936413, -84.61372792 30.07953556)))"
"FL_Panhandle_B3_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Panhandle_B3_2018","114","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-79.24542335 29.54812883, -78.83280393 29.54203755, -78.83087510 29.63222444, -78.62443312 29.62868606, -78.62231148 29.71885870, -78.51901278 29.71696231, -78.51455532 29.89728966, -78.41108162 29.89529840, -78.41340816 29.80514262, -78.31003775 29.80307783, -78.30518825 29.98337297, -77.89107789 29.97424122, -77.86819686 30.69509888, -78.07674651 30.69996495, -78.08484819 30.42960260, -78.18885352 30.43188567, -78.19143462 30.34175379, -78.71115144 30.35189116, -78.71533220 30.17155041, -79.23433801 30.17956542, -79.23754127 29.99916152, -79.13391191 29.99773300, -79.13727264 29.81733416, -79.24071561 29.81875237, -79.24542335 29.54812883)), ((-83.90189070 29.97896954, -83.90451897 30.06909905, -83.80089176 30.07134951, -83.80343807 30.16148570, -83.69970541 30.16366245, -83.70712947 30.43408601, -83.60310120 30.43620359, -83.61033818 30.70663710, -84.02753466 30.69757369, -84.02472549 30.60746289, -84.12889760 30.60499689, -84.10892211 29.97424122, -83.90189070 29.97896954)))"
"FL_PeaceRiver_2014","s3://spotable-geo-us-west-2/dtm/us/FL_PeaceRiver_2014","22","2014","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.90660792 26.93898586, -81.90805893 27.11953428, -81.80717209 27.12015030, -81.80847408 27.30069878, -81.70742150 27.30124655, -81.71208631 28.02341001, -81.91552069 28.02220524, -81.90878955 27.20980673, -82.00975412 27.20911561, -82.00894236 27.11884583, -82.10982200 27.11808493, -82.10893328 27.02781691, -82.00813439 27.02857486, -82.00733020 26.93830272, -81.90660792 26.93898586)))"
"FL_Peninsular_2018_D18","s3://spotable-geo-us-west-2/dtm/us/FL_Peninsular_2018_D18","296","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.62070246 27.56442173, -82.62203137 27.65466352, -82.52068440 27.65581256, -82.52445716 27.92654368, -82.62605530 27.92538146, -82.63013555 28.19608822, -82.93565451 28.19210745, -82.92761853 27.74099793, -82.82620803 27.74237427, -82.82321159 27.56191115, -82.62070246 27.56442173)), ((-81.61190291 28.29469664, -81.61451419 28.74600117, -81.51209886 28.74642795, -81.51122240 28.56590660, -81.00000000 28.56686940, -81.00000000 28.74739796, -80.69273745 28.74704875, -80.69220669 28.92756988, -80.79480378 28.92776533, -80.79444669 29.10828306, -80.89722314 29.10840120, -80.89704295 29.28891493, -81.00000000 29.28895460, -81.00000000 29.46946375, -81.10313890 29.46942378, -81.10323045 29.55967637, -81.30968967 29.55935550, -81.30996555 29.64960569, -81.51660366 29.64896161, -81.51799565 29.91969772, -81.82877098 29.91811067, -81.82802529 29.82787229, -81.93151767 29.82718305, -81.93068262 29.73694592, -82.13747011 29.73533019, -82.13544297 29.55486391, -82.54822270 29.55069425, -82.54960129 29.64091278, -83.06589052 29.63387326, -83.06222446 29.45348615, -83.16527599 29.45184932, -83.16336464 29.36165976, -83.26631667 29.35994954, -83.26432366 29.26976490, -83.16146199 29.27146886, -83.15580588 29.00088820, -82.95059449 29.00402398, -82.95229289 29.09423045, -82.84958613 29.09568632, -82.84319341 28.73483122, -82.74083384 28.73618826, -82.73490552 28.37529250, -82.22475469 28.38083242, -82.22579407 28.47107905, -82.12366142 28.47196127, -82.12176015 28.29146019, -81.61190291 28.29469664)))"
"FL_Peninsular_FDEM_2018_D19_DRRA","s3://spotable-geo-us-west-2/dtm/us/FL_Peninsular_FDEM_2018_D19_DRRA","836","2018","EPSG:26916; EPSG:26917","NAD83 / UTM zone 16N; NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-83.89107789 29.97424122, -83.87974077 30.33468194, -83.98362636 30.33712160, -83.98913171 30.15688671, -84.09284083 30.15922711, -84.09548103 30.06909905, -83.99186575 30.06676707, -83.99458744 29.97664597, -83.89107789 29.97424122)), ((-80.10249733 25.76530773, -80.20221168 25.76588843, -80.20341310 25.58530071, -80.10384888 25.58472466, -80.10249733 25.76530773)), ((-80.90019703 25.85834143, -80.89996793 26.12923707, -80.79993623 26.12913293, -80.79915792 26.58060092, -80.59831881 26.58017607, -80.59768581 26.76075192, -80.49711007 26.76043079, -80.49671165 26.85071573, -80.39605811 26.85032171, -80.39748564 26.57946800, -80.29707222 26.57900777, -80.29816947 26.39843647, -80.39842617 26.39889309, -80.39889311 26.30860392, -79.99819442 26.30636491, -79.99186561 27.02857486, -80.09266828 27.02926066, -80.09047640 27.30007799, -80.19152592 27.30069878, -80.18955000 27.57151263, -80.29084950 27.57206675, -80.28909619 27.84287628, -80.39064881 27.84336205, -80.38963520 28.02389947, -80.49135907 28.02431364, -80.48834038 28.65616788, -80.59066988 28.65651578, -80.58996547 28.83703731, -80.89749035 28.83762148, -80.89784096 28.47656495, -80.79568233 28.47644984, -80.79585563 28.38618314, -81.00000000 28.38633604, -81.00000000 28.65713428, -81.30699900 28.65678637, -81.30752732 28.83730992, -81.71754481 28.83575220, -81.71448439 28.38446307, -82.12270859 28.38171134, -82.11524238 27.65966804, -82.72337214 27.65344044, -82.72196030 27.56320331, -82.82321159 27.56191115, -82.82172379 27.47167772, -82.72055503 27.47296495, -82.71776404 27.29248451, -82.61675269 27.29368900, -82.61415006 27.11319439, -82.51329506 27.11431726, -82.51087763 26.93380912, -82.41017793 26.93485151, -82.40794257 26.75433047, -81.60346380 26.76003829, -81.60204298 26.48918112, -81.30102649 26.49013327, -81.29940746 25.85806702, -80.90019703 25.85834143), (-80.69802399 26.85128888, -80.89934083 26.85157546, -80.89918032 27.03214858, -80.79836103 27.03204027, -80.79819939 27.12232467, -80.69730004 27.12214346, -80.69802399 26.85128888), (-80.89877243 27.48356105, -80.89868970 27.57384004, -80.79737978 27.57372920, -80.79704656 27.75428281, -80.69557080 27.75409667, -80.69582130 27.66382116, -80.59443021 27.66356156, -80.59476265 27.57328586, -80.79737978 27.57372920, -80.79754524 27.48345064, -80.89877243 27.48356105)), ((-83.05859165 29.27309373, -83.06040391 29.36329060, -82.95743490 29.36484204, -82.96090222 29.54524320, -82.75457665 29.54812883, -82.75302163 29.45791837, -82.23754773 29.46371002, -82.23645461 29.37347710, -82.03040925 29.37522854, -82.03315489 29.64594284, -81.82654404 29.64739178, -81.82728298 29.73763266, -81.72387998 29.73823863, -81.72452952 29.82848046, -81.62103080 29.82900757, -81.61936805 29.55827259, -81.10323045 29.55967637, -81.10341479 29.74017787, -81.20682917 29.74005666, -81.20757669 30.10104308, -81.31136396 30.10083811, -81.31279443 30.55203946, -81.41705721 30.55174731, -81.41744386 30.64198278, -81.31308443 30.64227598, -81.31337573 30.73251124, -81.52228704 30.73183868, -81.52277472 30.82207028, -81.83641663 30.82042519, -81.83720037 30.91064966, -82.04647391 30.90912585, -82.04549434 30.81890678, -82.15002681 30.81802111, -82.14788642 30.63758543, -82.98238063 30.62753862, -82.98422369 30.71772119, -83.81896006 30.70227263, -83.81114648 30.43188567, -83.91515181 30.42960260, -83.91247554 30.33947889, -84.01637364 30.33712160, -84.00541256 29.97664597, -83.90189070 29.97896954, -83.89927432 29.88883858, -83.69238150 29.89322611, -83.68755396 29.71292814, -83.58427584 29.71498544, -83.58197034 29.62482688, -83.47877363 29.62679656, -83.47437656 29.44646093, -83.37135245 29.44833669, -83.36925959 29.35815996, -83.26631667 29.35994954, -83.26432366 29.26976490, -83.05859165 29.27309373), (-82.14682344 30.54736565, -82.04258202 30.54824189, -82.04161997 30.45801770, -82.14576526 30.45714460, -82.14682344 30.54736565)))"
"FL_SRWMD_NC_2015","s3://spotable-geo-us-west-2/dtm/us/FL_SRWMD_NC_2015","114","2015","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.54142325 29.09958239, -82.54822270 29.55069425, -82.65140302 29.54945157, -82.65435045 29.72987825, -82.86105841 29.72713277, -82.86440391 29.90753424, -82.96793224 29.90602968, -82.97149542 30.08641495, -83.17890167 30.08313870, -83.18688419 30.44384571, -83.39501262 30.44019035, -83.40167250 30.71066684, -83.61033818 30.70663710, -83.60791496 30.61649402, -83.81634377 30.61214510, -83.81114648 30.43188567, -83.91515181 30.42960260, -83.90715917 30.15922711, -83.69970541 30.16366245, -83.69238150 29.89322611, -83.58891838 29.89529840, -83.58659184 29.80514262, -83.27641905 29.81085249, -83.27033006 29.54031477, -83.16719607 29.54203755, -83.16912490 29.63222444, -82.96264775 29.63544181, -82.95916461 29.45504328, -82.85609686 29.45652070, -82.85445802 29.36631406, -82.75147369 29.36770662, -82.74839890 29.18727924, -82.64558811 29.18858273, -82.64415090 29.09836231, -82.54142325 29.09958239)), ((-82.24421196 30.00508099, -82.24761277 30.27574928, -82.35155718 30.27471742, -82.35654756 30.63557559, -82.87809332 30.62908712, -82.87983957 30.71927522, -83.08859948 30.71608331, -83.08472853 30.53572849, -82.98054587 30.53735471, -82.97871937 30.44716945, -82.66641145 30.45153285, -82.66183726 30.18092219, -82.55800567 30.18219683, -82.55517874 30.00177399, -82.24421196 30.00508099)))"
"FL_Southeast_B1_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southeast_B1_2018","12","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.10113281 25.94588626, -80.10044566 26.03617381, -80.00050670 26.03551700, -79.99741632 26.39664524, -80.19791534 26.39790961, -80.19915748 26.21733785, -80.29925638 26.21786056, -80.30086753 25.94698813, -80.10113281 25.94588626)))"
"FL_Southeast_B2_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southeast_B2_2018","62","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.60139541 25.67722831, -80.60048774 25.94812453, -80.20099872 25.94647162, -80.19977414 26.12705025, -80.09975523 26.12646021, -80.09766417 26.39731253, -80.89973554 26.40012253, -80.89989084 26.21953336, -81.10010916 26.21953336, -81.09995534 26.03893965, -81.19991031 26.03883592, -81.19945429 25.76793814, -81.09972733 25.76804063, -81.09965204 25.67773871, -80.60139541 25.67722831)))"
"FL_Southeast_TL_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southeast_TL_2018","19","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.70104530 25.67746650, -80.70059254 25.85806702, -80.90019703 25.85834143, -80.90034796 25.67773871, -80.70104530 25.67746650)), ((-80.10113281 25.94588626, -80.09975523 26.12646021, -80.29979598 26.12757090, -80.30086753 25.94698813, -80.10113281 25.94588626)), ((-80.70036454 25.94836560, -80.69944159 26.30954860, -80.79962711 26.30972354, -80.79947145 26.40001715, -80.89973554 26.40012253, -80.90012103 25.94864111, -80.70036454 25.94836560)), ((-80.09906151 26.21674547, -80.09836449 26.30702958, -80.29871421 26.30814909, -80.29925638 26.21786056, -80.09906151 26.21674547)))"
"FL_Southwest_A_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southwest_A_2018","42","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.50092578 26.30898878, -81.50328835 26.85071573, -82.10716831 26.84727731, -82.10629201 26.75700574, -82.20684681 26.75618527, -82.20780271 26.84645364, -82.30843261 26.84555839, -82.30431977 26.48449176, -82.20400599 26.48537310, -82.20306795 26.39510003, -81.90233583 26.39731253, -81.90163551 26.30702958, -81.50092578 26.30898878)))"
"FL_Southwest_B_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southwest_B_2018","51","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.39890570 25.76752817, -81.39920825 25.85782692, -81.19960557 25.85823853, -81.20084208 26.58060092, -81.60251436 26.57946800, -81.60157383 26.39889309, -81.90233583 26.39731253, -81.89955434 26.03617381, -81.79961211 26.03676151, -81.79839336 25.85618059, -81.69860052 25.85669505, -81.69807109 25.76640083, -81.39890570 25.76752817)))"
"FL_Southwest_B_TL_2018","s3://spotable-geo-us-west-2/dtm/us/FL_Southwest_B_TL_2018","4","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.30055841 26.30954860, -81.30102649 26.49013327, -81.50170588 26.48956903, -81.50092578 26.30898878, -81.30055841 26.30954860)))"
"FL_SuwanneeRiver_2017","s3://spotable-geo-us-west-2/dtm/us/FL_SuwanneeRiver_2017","55","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.64129613 28.91791764, -82.64272025 29.00814061, -82.43743742 29.01049344, -82.44632291 29.64207961, -82.23974896 29.64417208, -82.24085712 29.73440121, -82.13747011 29.73533019, -82.13645423 29.64509768, -82.03315489 29.64594284, -82.03593827 29.91664584, -82.34665634 29.91383861, -82.34787323 30.00406024, -82.65882214 30.00050853, -82.65732480 29.91029974, -82.76086796 29.90895760, -82.75302163 29.45791837, -82.64993933 29.45923629, -82.64558811 29.18858273, -82.74839890 29.18727924, -82.74687200 29.09706361, -82.84958613 29.09568632, -82.84637513 28.91526135, -82.64129613 28.91791764)), ((-82.03781503 30.09710820, -82.03970889 30.27756550, -82.24761277 30.27574928, -82.24647403 30.18552779, -82.35032363 30.18449965, -82.34909565 30.09428059, -82.03781503 30.09710820)), ((-82.45549599 30.27360309, -82.35155718 30.27471742, -82.35404109 30.45514909, -82.24990578 30.45618839, -82.25221961 30.63662235, -82.46086982 30.63444516, -82.45549599 30.27360309)))"
"FL_TopobathyFLKeysNOAA_2019_D20","s3://spotable-geo-us-west-2/dtm/us/FL_TopobathyFLKeysNOAA_2019_D20","59","2019","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.59179989 24.41227120, -81.59222198 24.50258381, -81.49352147 24.50293872, -81.49387494 24.59325172, -81.00000000 24.59406171, -81.00000000 24.68437699, -80.80230551 24.68424685, -80.80216273 24.77456051, -80.60432825 24.77416848, -80.60404130 24.86447942, -80.50505425 24.86418419, -80.50469383 24.95449283, -80.40563644 24.95413052, -80.40520185 25.04443656, -80.30607415 25.04400663, -80.30505276 25.22461188, -80.20578165 25.22411175, -80.20519378 25.31441067, -80.10585204 25.31384157, -80.10181670 25.85559756, -80.20160664 25.85618059, -80.20400951 25.49500515, -80.30350208 25.49551140, -80.30402146 25.40521268, -80.40344234 25.40564967, -80.40432634 25.22504534, -80.50360204 25.22541212, -80.50396773 25.13510680, -80.60317207 25.13540568, -80.60346322 25.04509803, -80.70259618 25.04532955, -80.70281349 24.95501985, -80.80187508 24.95518454, -80.80201925 24.86487307, -81.00000000 24.86500429, -81.00000000 24.77469118, -81.19783727 24.77456051, -81.19798075 24.86487307, -81.59393107 24.86382337, -81.59350067 24.77351512, -81.79132123 24.77260047, -81.79075020 24.68229490, -81.98841694 24.68112386, -81.98770667 24.59082203, -82.08646403 24.59014179, -82.08724528 24.68044079, -82.18606981 24.67969271, -82.18436951 24.49909978, -81.69092041 24.50216439, -81.69042799 24.41185352, -81.59179989 24.41227120)))"
"FL_Upper_Saint_Johns_2017","s3://spotable-geo-us-west-2/dtm/us/FL_Upper_Saint_Johns_2017","34","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.89827024 28.02521733, -80.59308490 28.02465252, -80.59205943 28.29545825, -80.69404318 28.29572482, -80.69326335 28.56652279, -80.79550823 28.56671535, -80.79480378 28.92776533, -81.00000000 28.92792169, -81.00000000 28.83766043, -81.10250965 28.83762148, -81.10233354 28.65709563, -81.20466667 28.65697965, -81.20431767 28.47644984, -81.10215904 28.47656495, -81.10198613 28.29602948, -80.89801387 28.29602948, -80.89827024 28.02521733)))"
"FL_WestEvergladesNP_2018_B18","s3://spotable-geo-us-west-2/dtm/us/FL_WestEvergladesNP_2018_B18","44","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.80173020 25.04549492, -80.80158462 25.13580420, -80.50396773 25.13510680, -80.50360204 25.22541212, -80.80143834 25.22611237, -80.80114365 25.40672541, -80.90057165 25.40682626, -80.90049744 25.49713153, -81.00000000 25.49716528, -81.00000000 25.58746957, -81.09957712 25.58743568, -81.09965204 25.67773871, -81.00000000 25.67777274, -81.00000000 25.85837573, -81.09980297 25.85834143, -81.09987897 25.94864111, -81.49938760 25.94781460, -81.49900760 25.85751822, -81.59880514 25.85714093, -81.59835134 25.76684492, -81.49862942 25.76722071, -81.49825304 25.67692207, -81.39860459 25.67722831, -81.39830491 25.58692732, -81.29872994 25.58716455, -81.29828363 25.40655732, -81.19885635 25.40672541, -81.19826980 25.04549492, -80.80173020 25.04549492)))"
