"project","directory","files","year","horizontal_epsg","horizontal_projection","geometry"
"FL_2017FortDrum_1_C22","s3://spotable-geo-us-west-2/point-cloud/us/FL_2017FortDrum_C22/FL_2017FortDrum_1_C22","630","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.77737244 27.44730801, -80.77731803 27.47439181, -80.76213527 27.47436670, -80.76210618 27.48790855, -80.71655247 27.48782324, -80.71644834 27.52844847, -80.65568808 27.52831130, -80.65564588 27.54185291, -80.62526220 27.54177432, -80.62535402 27.51469116, -80.61016595 27.51464942, -80.61026136 27.48756621, -80.56470851 27.48743120, -80.56449523 27.54159722, -80.53411196 27.54149872, -80.53399765 27.56858145, -80.51880235 27.56852965, -80.51856576 27.62269469, -80.53376853 27.62274661, -80.53353878 27.67691134, -80.54874908 27.67696171, -80.54858197 27.71758507, -80.56379794 27.71763386, -80.56369011 27.74471602, -80.59412969 27.74480868, -80.59407948 27.75834977, -80.60930120 27.75839361, -80.60920445 27.78547577, -80.53307734 27.78523953, -80.53284565 27.83940298, -80.83750960 27.84009793, -80.83748941 27.85363912, -80.85272474 27.85365622, -80.85263310 27.92136184, -80.88312274 27.92139108, -80.88320993 27.84014416, -80.89844340 27.84015621, -80.89855653 27.71828398, -80.88334003 27.71827199, -80.88341196 27.65056431, -80.92903333 27.65059516, -80.92907696 27.58288672, -80.91387918 27.58287813, -80.91398458 27.44745932, -80.77737244 27.44730801)))"
"FL_2017PalmCoast_1_C22","s3://spotable-geo-us-west-2/point-cloud/us/FL_2017PalmCoast_C22/FL_2017PalmCoast_1_C22","212","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-81.14429225 29.39718258, -81.14452253 29.55963787, -81.16000704 29.55962012, -81.16004973 29.58669560, -81.17553836 29.58667602, -81.17556180 29.60021371, -81.19105248 29.60019231, -81.19110354 29.62726758, -81.22209312 29.62721932, -81.22212282 29.64075688, -81.25311647 29.64070135, -81.25315034 29.65423885, -81.26864920 29.65420835, -81.26868517 29.66774582, -81.31518783 29.66764339, -81.31514564 29.65410599, -81.34614312 29.65402868, -81.34609681 29.64049129, -81.39258657 29.64036182, -81.39248162 29.61328709, -81.37698921 29.61333201, -81.37688853 29.58625713, -81.36140022 29.58630019, -81.36135200 29.57276268, -81.39232445 29.57267480, -81.39216761 29.53206225, -81.36120754 29.53214999, -81.36111140 29.50507473, -81.34563544 29.50511585, -81.34558947 29.49157815, -81.31464157 29.49165495, -81.31459975 29.47811718, -81.26818385 29.47821883, -81.26814823 29.46468098, -81.25267827 29.46471124, -81.25254421 29.41055950, -81.23708244 29.41058791, -81.23705103 29.39704989, -81.14429225 29.39718258)))"
"FL_2018PascoCounty_1_C22","s3://spotable-geo-us-west-2/point-cloud/us/FL_2018PascoCounty_C22/FL_2018PascoCounty_1_C22","1032","2018","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-82.09066568 28.24206887, -82.04480294 28.24242706, -82.04732620 28.49964804, -82.27718439 28.49768241, -82.27669590 28.45707254, -82.67490195 28.45275253, -82.67468868 28.43921827, -82.70531220 28.43883794, -82.70487832 28.41176977, -82.72018596 28.41157724, -82.71953043 28.37097509, -82.73483210 28.37078117, -82.73417212 28.33017910, -82.76476336 28.32978676, -82.76364711 28.26211718, -82.77893284 28.26191900, -82.77848356 28.23485119, -82.79376528 28.23465153, -82.79353895 28.22111770, -82.80881858 28.22091644, -82.80790713 28.16678127, -82.51771472 28.17030544, -82.51752373 28.15676958, -82.08984107 28.16084035, -82.09066568 28.24206887)))"
"FL_Everglades_N_2017","s3://spotable-geo-us-west-2/point-cloud/us/FL_Everglades_NP_LiDAR_2017_D16/FL_Everglades_N_2017","1536","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.54188198 25.60481260, -80.53192315 25.60478106, -80.53181759 25.63187115, -80.52185654 25.63183889, -80.52178458 25.64989888, -80.51182205 25.64986591, -80.51178529 25.65889587, -80.50182202 25.65886221, -80.50178450 25.66789215, -80.49182050 25.66785780, -80.49139830 25.76718620, -81.07978188 25.76805293, -81.07977584 25.75902279, -81.08974781 25.75901698, -81.08974103 25.74998682, -81.09971224 25.74998034, -81.09970470 25.74095017, -81.10967516 25.74094301, -81.10966687 25.73191284, -81.11963657 25.73190499, -81.11962754 25.72287481, -81.12959648 25.72286629, -81.12958669 25.71383610, -81.13955488 25.71382690, -81.13954435 25.70479670, -81.14951177 25.70478682, -81.14950050 25.69575662, -81.15946717 25.69574606, -81.15945514 25.68671585, -81.16942105 25.68670462, -81.16938276 25.65961394, -81.15941910 25.65962516, -81.15939510 25.64156464, -81.14943294 25.64157517, -81.14939923 25.61448429, -81.13943931 25.61449413, -81.13942883 25.60546381, -81.12946965 25.60547297, -81.12945993 25.59644264, -81.11950149 25.59645111, -81.11948355 25.57839041, -81.10952660 25.57839820, -81.10951839 25.56936783, -81.08960597 25.56938137, -81.08959925 25.56035098, -81.06968832 25.56036181, -81.06968310 25.55133141, -81.04977365 25.55133953, -81.04976992 25.54230911, -80.55207608 25.54163267, -80.55200894 25.55969295, -80.54205384 25.55966215, -80.54188198 25.60481260)))"
"FL_Everglades_N_Hydroflattened_2017","s3://spotable-geo-us-west-2/point-cloud/us/FL_Everglades_NP_LiDAR_2017_D16/FL_Everglades_N_Hydroflattened_2017","1536","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.54188198 25.60481260, -80.53192315 25.60478106, -80.53181759 25.63187115, -80.52185654 25.63183889, -80.52178458 25.64989888, -80.51182205 25.64986591, -80.51178529 25.65889587, -80.50182202 25.65886221, -80.50178450 25.66789215, -80.49182050 25.66785780, -80.49139830 25.76718620, -81.07978188 25.76805293, -81.07977584 25.75902279, -81.08974781 25.75901698, -81.08974103 25.74998682, -81.09971224 25.74998034, -81.09970470 25.74095017, -81.10967516 25.74094301, -81.10966687 25.73191284, -81.11963657 25.73190499, -81.11962754 25.72287481, -81.12959648 25.72286629, -81.12958669 25.71383610, -81.13955488 25.71382690, -81.13954435 25.70479670, -81.14951177 25.70478682, -81.14950050 25.69575662, -81.15946717 25.69574606, -81.15945514 25.68671585, -81.16942105 25.68670462, -81.16938276 25.65961394, -81.15941910 25.65962516, -81.15939510 25.64156464, -81.14943294 25.64157517, -81.14939923 25.61448429, -81.13943931 25.61449413, -81.13942883 25.60546381, -81.12946965 25.60547297, -81.12945993 25.59644264, -81.11950149 25.59645111, -81.11948355 25.57839041, -81.10952660 25.57839820, -81.10951839 25.56936783, -81.08960597 25.56938137, -81.08959925 25.56035098, -81.06968832 25.56036181, -81.06968310 25.55133141, -81.04977365 25.55133953, -81.04976992 25.54230911, -80.55207608 25.54163267, -80.55200894 25.55969295, -80.54205384 25.55966215, -80.54188198 25.60481260)))"
"FL_Everglades_S_2017","s3://spotable-geo-us-west-2/point-cloud/us/FL_Everglades_NP_LiDAR_2017_D16/FL_Everglades_S_2017","1784","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.72219867 25.14470748, -80.70235592 25.14466894, -80.70233402 25.15369973, -80.69241193 25.15367946, -80.69238928 25.16271023, -80.67254368 25.16266767, -80.67251956 25.17169841, -80.66259604 25.17167612, -80.66257118 25.18070684, -80.64272273 25.18066025, -80.64269639 25.18969094, -80.62284652 25.18964167, -80.62279088 25.20770298, -80.61286450 25.20767733, -80.61283593 25.21670795, -80.58305468 25.21662696, -80.58302389 25.22565754, -80.57309610 25.22562920, -80.57306457 25.23465976, -80.54327910 25.23457069, -80.54331284 25.22554017, -80.52345740 25.22547748, -80.52349259 25.21644697, -80.51356563 25.21641464, -80.51352971 25.22544513, -80.46389153 25.22527341, -80.46385193 25.23430383, -80.45392361 25.23426747, -80.45388326 25.24329786, -80.44395423 25.24326081, -80.44391313 25.25229118, -80.43398339 25.25225345, -80.43381583 25.28837473, -80.44374851 25.28841252, -80.44354229 25.33356395, -80.45347868 25.33360114, -80.45327565 25.37875236, -80.46321574 25.37878896, -80.46305593 25.41490980, -80.49288520 25.41501573, -80.49292297 25.40598550, -80.52275018 25.40608534, -80.52278570 25.39705505, -80.56255260 25.39717871, -80.56245487 25.42426969, -80.57239885 25.42429896, -80.57223935 25.46945043, -80.56229166 25.46942110, -80.56202971 25.54166277, -81.02986196 25.54231452, -81.02985972 25.53328409, -81.01990648 25.53328578, -81.01990499 25.52425533, -81.02985748 25.52425364, -81.02984632 25.47910125, -81.01989755 25.47910294, -81.01989606 25.47007243, -81.02984409 25.47007074, -81.02983741 25.44297914, -81.01989161 25.44298083, -81.01989013 25.43395027, -81.00994506 25.43395128, -81.00994432 25.42492071, -80.99005568 25.42492071, -80.99005642 25.41589013, -80.98011284 25.41588913, -80.98011432 25.40685854, -80.97017148 25.40685686, -80.97017370 25.39782626, -80.96023160 25.39782390, -80.96023456 25.38879329, -80.94035184 25.38878658, -80.94035628 25.37975596, -80.93041567 25.37975159, -80.93042084 25.37072096, -80.92048097 25.37071593, -80.92048688 25.36168529, -80.91054775 25.36167959, -80.91055439 25.35264894, -80.89067761 25.35263553, -80.89068573 25.34360488, -80.88074809 25.34359717, -80.88092431 25.16298189, -80.87100135 25.16297357, -80.87099185 25.17200444, -80.84122082 25.17197550, -80.84123252 25.16294465, -80.83130958 25.16293367, -80.83132200 25.15390281, -80.81147761 25.15387888, -80.81146373 25.16290973, -80.80154081 25.16289676, -80.80155542 25.15386592, -80.76186676 25.15380742, -80.76188428 25.14477659, -80.75196287 25.14476031, -80.75198111 25.13572947, -80.72221911 25.13567667, -80.72219867 25.14470748)))"
"FL_Everglades_S_Hydroflattened_2017","s3://spotable-geo-us-west-2/point-cloud/us/FL_Everglades_NP_LiDAR_2017_D16/FL_Everglades_S_Hydroflattened_2017","1784","2017","EPSG:26917","NAD83 / UTM zone 17N","SRID=4326;MULTIPOLYGON (((-80.72219867 25.14470748, -80.70235592 25.14466894, -80.70233402 25.15369973, -80.69241193 25.15367946, -80.69238928 25.16271023, -80.67254368 25.16266767, -80.67251956 25.17169841, -80.66259604 25.17167612, -80.66257118 25.18070684, -80.64272273 25.18066025, -80.64269639 25.18969094, -80.62284652 25.18964167, -80.62279088 25.20770298, -80.61286450 25.20767733, -80.61283593 25.21670795, -80.58305468 25.21662696, -80.58302389 25.22565754, -80.57309610 25.22562920, -80.57306457 25.23465976, -80.54327910 25.23457069, -80.54331284 25.22554017, -80.52345740 25.22547748, -80.52349259 25.21644697, -80.51356563 25.21641464, -80.51352971 25.22544513, -80.46389153 25.22527341, -80.46385193 25.23430383, -80.45392361 25.23426747, -80.45388326 25.24329786, -80.44395423 25.24326081, -80.44391313 25.25229118, -80.43398339 25.25225345, -80.43381583 25.28837473, -80.44374851 25.28841252, -80.44354229 25.33356395, -80.45347868 25.33360114, -80.45327565 25.37875236, -80.46321574 25.37878896, -80.46305593 25.41490980, -80.49288520 25.41501573, -80.49292297 25.40598550, -80.52275018 25.40608534, -80.52278570 25.39705505, -80.56255260 25.39717871, -80.56245487 25.42426969, -80.57239885 25.42429896, -80.57223935 25.46945043, -80.56229166 25.46942110, -80.56202971 25.54166277, -81.02986196 25.54231452, -81.02985972 25.53328409, -81.01990648 25.53328578, -81.01990499 25.52425533, -81.02985748 25.52425364, -81.02984632 25.47910125, -81.01989755 25.47910294, -81.01989606 25.47007243, -81.02984409 25.47007074, -81.02983741 25.44297914, -81.01989161 25.44298083, -81.01989013 25.43395027, -81.00994506 25.43395128, -81.00994432 25.42492071, -80.99005568 25.42492071, -80.99005642 25.41589013, -80.98011284 25.41588913, -80.98011432 25.40685854, -80.97017148 25.40685686, -80.97017370 25.39782626, -80.96023160 25.39782390, -80.96023456 25.38879329, -80.94035184 25.38878658, -80.94035628 25.37975596, -80.93041567 25.37975159, -80.93042084 25.37072096, -80.92048097 25.37071593, -80.92048688 25.36168529, -80.91054775 25.36167959, -80.91055439 25.35264894, -80.89067761 25.35263553, -80.89068573 25.34360488, -80.88074809 25.34359717, -80.88092431 25.16298189, -80.87100135 25.16297357, -80.87099185 25.17200444, -80.84122082 25.17197550, -80.84123252 25.16294465, -80.83130958 25.16293367, -80.83132200 25.15390281, -80.81147761 25.15387888, -80.81146373 25.16290973, -80.80154081 25.16289676, -80.80155542 25.15386592, -80.76186676 25.15380742, -80.76188428 25.14477659, -80.75196287 25.14476031, -80.75198111 25.13572947, -80.72221911 25.13567667, -80.72219867 25.14470748)))"
"FL_HurricaneMichael_1_2020","s3://spotable-geo-us-west-2/point-cloud/us/FL_HurricaneMichael_2020_D20/FL_HurricaneMichael_1_2020","938","2020","EPSG:2238","NAD83 / Florida North ftUS","SRID=4326;MULTIPOLYGON (((-84.33732022 29.98980407, -84.35311435 29.98982274, -84.35301254 30.05856592, -84.30559732 30.05850417, -84.30562426 30.04475558, -84.27401853 30.04470489, -84.27398720 30.05845347, -84.25818216 30.05842527, -84.25811510 30.08592235, -84.24230568 30.08589223, -84.24234140 30.07214370, -84.17911260 30.07200418, -84.17915708 30.05825565, -84.14754714 30.05817446, -84.14749827 30.07192298, -84.13169113 30.07187952, -84.13164006 30.08562801, -84.03678436 30.08532718, -84.03672012 30.09907560, -84.02090870 30.09901879, -84.02097513 30.08527037, -83.97354757 30.08508850, -83.97325542 30.14008191, -83.95743750 30.14001744, -83.95728691 30.16751397, -83.94146462 30.16744758, -83.94138710 30.18119579, -83.92556264 30.18112748, -83.92548290 30.19487565, -83.90965626 30.19480542, -83.90941032 30.23604972, -83.89357711 30.23597755, -83.89349288 30.24972558, -83.87765750 30.24965149, -83.87757105 30.26339947, -83.84589596 30.26324555, -83.84580508 30.27699348, -83.81412569 30.27683189, -83.81393506 30.30432759, -83.79809100 30.30424391, -83.79799345 30.31799170, -83.95645719 30.31874264, -83.95615484 30.37373381, -84.08299789 30.37419724, -84.08340342 30.27796185, -84.24180446 30.27836869, -84.24173269 30.30586481, -84.71707140 30.30593932, -84.71704124 30.29219127, -84.73288362 30.29216414, -84.73278659 30.25091978, -84.70111501 30.25097210, -84.70105916 30.22347567, -84.68522776 30.22349896, -84.68517634 30.19600240, -84.66934932 30.19602378, -84.66923187 30.12728184, -84.65341582 30.12730129, -84.65335200 30.08605580, -84.63754254 30.08607334, -84.63752347 30.07232479, -84.62171618 30.07234042, -84.62169931 30.05859184, -84.60589422 30.05860556, -84.60587954 30.04485696, -84.59007663 30.04486878, -84.59006415 30.03112015, -84.57426342 30.03113006, -84.57425313 30.01738141, -84.52685752 30.01739970, -84.52685380 30.00365104, -84.51105745 30.00365332, -84.51105591 29.98990463, -84.49526175 29.98990501, -84.49526109 30.00365370, -84.44787204 30.00364342, -84.44787926 29.98989473, -84.43208510 29.98988749, -84.43209451 29.97613879, -84.36892665 29.97609080, -84.36894480 29.96234208, -84.33736528 29.96230667, -84.33732022 29.98980407)))"
"FL_HurricaneMichael_2_2020","s3://spotable-geo-us-west-2/point-cloud/us/FL_HurricaneMichael_2020_D20/FL_HurricaneMichael_2_2020","508","2020","EPSG:2238","NAD83 / Florida North ftUS","SRID=4326;MULTIPOLYGON (((-83.79799345 30.31799170, -83.79760296 30.37298246, -83.75003789 30.37271978, -83.74982925 30.40021484, -83.73396988 30.40012343, -83.73386331 30.41387089, -83.71800176 30.41377756, -83.71723948 30.51000842, -83.66960863 30.50971666, -83.66949298 30.52346370, -83.65361388 30.52336260, -83.65302407 30.59209696, -83.66891423 30.59219812, -83.66845066 30.64718471, -83.76384547 30.64775176, -83.76364010 30.67524487, -84.01810189 30.67641994, -84.01850488 30.59393899, -84.00261415 30.59387997, -84.00282203 30.55263879, -83.98693796 30.55257788, -83.98708087 30.52508352, -84.05059957 30.52531558, -84.05091230 30.45657866, -84.06678097 30.45663185, -84.06684126 30.44288432, -84.08270774 30.44293559, -84.08299789 30.37419724, -83.95615484 30.37373381, -83.95645719 30.31874264, -83.79799345 30.31799170)))"
"FL_HurricaneMichael_3_2020","s3://spotable-geo-us-west-2/point-cloud/us/FL_HurricaneMichael_2020_D20/FL_HurricaneMichael_3_2020","1669","2020","EPSG:2238","NAD83 / Florida North ftUS","SRID=4326;MULTIPOLYGON (((-85.01432823 29.57642532, -85.01439919 29.59017408, -84.96720716 29.59035164, -84.96727163 29.60410042, -84.93580584 29.60420932, -84.93586599 29.61795813, -84.90439580 29.61805946, -84.90445161 29.63180828, -84.88871432 29.63185611, -84.88876798 29.64560494, -84.85728901 29.64569490, -84.85733834 29.65944375, -84.81011326 29.65956448, -84.81015608 29.67331335, -84.77866829 29.67338435, -84.77870677 29.68713322, -84.74721459 29.68719664, -84.74724873 29.70094553, -84.73150045 29.70097439, -84.73153243 29.71472328, -84.71578196 29.71475025, -84.71581178 29.72849913, -84.70005913 29.72852420, -84.70008677 29.74227309, -84.68433193 29.74229627, -84.68438289 29.76979403, -84.63710528 29.76985218, -84.63712423 29.78360106, -84.58984004 29.78364211, -84.58985246 29.79739099, -84.55832529 29.79740886, -84.55834949 29.83865546, -84.58988974 29.83863758, -84.58987731 29.82488873, -84.60564525 29.82487694, -84.60563065 29.81112808, -84.62139640 29.81111439, -84.62137962 29.79736552, -84.68443388 29.79729177, -84.68440838 29.78354290, -84.70016975 29.78351971, -84.70014208 29.76977084, -84.71590126 29.76974576, -84.71587143 29.75599689, -84.73162842 29.75596991, -84.73159642 29.74222103, -84.74735123 29.74219216, -84.74731705 29.72844328, -84.77882229 29.72837984, -84.77878377 29.71463097, -84.79453420 29.71459640, -84.79449352 29.70084753, -84.81024176 29.70081107, -84.81019891 29.68706221, -84.85743704 29.68694145, -84.85738768 29.67319260, -84.88887535 29.67310261, -84.88882166 29.65935377, -84.93604652 29.65920457, -84.93598633 29.64545576, -84.95172575 29.64540223, -84.95166340 29.63165343, -84.96740062 29.63159801, -84.96733612 29.61784922, -85.06174605 29.61747693, -85.06182359 29.63122568, -85.10903479 29.63101389, -85.10895074 29.61726518, -85.09321587 29.61733766, -85.09313401 29.60358894, -85.07740129 29.60365951, -85.07732162 29.58991079, -85.06159105 29.58997945, -85.06151357 29.57623072, -85.01432823 29.57642532)), ((-84.98347149 29.70028466, -84.98353828 29.71403344, -84.96778803 29.71409080, -84.96785266 29.72783960, -84.95210021 29.72789506, -84.95216268 29.74164386, -84.92065339 29.74174911, -84.92076967 29.76924672, -84.90501064 29.76929651, -84.90489871 29.74179889, -84.92065339 29.74174911, -84.92059527 29.72800030, -84.90484277 29.72805007, -84.90478684 29.71430125, -84.87328616 29.71439507, -84.87333773 29.72814391, -84.85758519 29.72818798, -84.85763460 29.74193682, -84.82612513 29.74201927, -84.82617020 29.75576812, -84.79465632 29.75584298, -84.79469704 29.76959183, -84.76317876 29.76965910, -84.76321514 29.78340796, -84.73169246 29.78346764, -84.73172450 29.79721649, -84.71596096 29.79724348, -84.71599083 29.81099234, -84.68445938 29.81104063, -84.68448489 29.82478948, -84.65294905 29.82483017, -84.65297021 29.83857901, -84.62142999 29.83861210, -84.62144678 29.85236094, -84.60567448 29.85237464, -84.60568910 29.86612347, -84.58991462 29.86613526, -84.58992706 29.87988409, -84.55837371 29.87990197, -84.55838179 29.89365078, -84.52682407 29.89366106, -84.52682778 29.90740986, -84.44792255 29.90740225, -84.44792975 29.89365345, -84.38481433 29.89361311, -84.38483027 29.87986430, -84.35327695 29.87983272, -84.35325665 29.89358152, -84.32169898 29.89354233, -84.32160023 29.94853738, -84.33738780 29.94855794, -84.33736528 29.96230667, -84.36894480 29.96234208, -84.36892665 29.97609080, -84.43209451 29.97613879, -84.43208510 29.98988749, -84.44787926 29.98989473, -84.44787204 30.00364342, -84.49526109 30.00365370, -84.49526175 29.98990501, -84.51105591 29.98990463, -84.51105745 30.00365332, -84.52685380 30.00365104, -84.52685752 30.01739970, -84.57425313 30.01738141, -84.57426342 30.03113006, -84.59006415 30.03112015, -84.59007663 30.04486878, -84.60587954 30.04485696, -84.60589422 30.05860556, -84.62169931 30.05859184, -84.62171618 30.07234042, -84.63752347 30.07232479, -84.63754254 30.08607334, -84.65335200 30.08605580, -84.65341582 30.12730129, -84.66923187 30.12728184, -84.66934932 30.19602378, -84.68517634 30.19600240, -84.68522776 30.22349896, -84.70105916 30.22347567, -84.70111501 30.25097210, -84.73278659 30.25091978, -84.73288362 30.29216414, -84.71704124 30.29219127, -84.71707140 30.30593932, -84.70122681 30.30596454, -84.70131074 30.34720849, -84.68545953 30.34723181, -84.68548531 30.36097972, -84.65377847 30.36102063, -84.65382124 30.38851633, -84.63796340 30.38853392, -84.63815555 30.52600985, -84.62227562 30.52602556, -84.62244616 30.66349654, -84.60654407 30.66351035, -84.60658867 30.70475056, -84.65431489 30.70470338, -84.65433642 30.71844999, -84.81344554 30.71816800, -84.81318331 30.63568766, -84.82908085 30.63564894, -84.82903498 30.62190203, -84.84493029 30.62186139, -84.84473804 30.56687320, -84.86062449 30.56683068, -84.86057425 30.55308350, -84.89234266 30.55299272, -84.89228801 30.53924551, -84.90816998 30.53919725, -84.90771563 30.42921785, -84.93944417 30.42911570, -84.93907761 30.34662936, -84.95492862 30.34657546, -84.95461261 30.27783579, -84.97045259 30.27778002, -84.97025659 30.23653581, -84.98608996 30.23647815, -84.98595499 30.20898186, -85.03344179 30.20879748, -85.03314572 30.15380464, -85.04896582 30.15373940, -85.04873740 30.11249449, -85.06455091 30.11242737, -85.06423787 30.05743384, -85.04843314 30.05750093, -85.04835712 30.04375248, -84.96934410 30.04405928, -84.96908403 29.98906511, -84.95329013 29.98912072, -84.95241274 29.79663900, -84.98393940 29.79652609, -84.98373876 29.75527979, -85.04676570 29.75503126, -85.04669014 29.74128251, -85.09395360 29.74107619, -85.09378950 29.71357875, -85.06228926 29.71371816, -85.06221159 29.69996942, -84.98347149 29.70028466)), ((-84.08340342 30.27796185, -84.08299789 30.37419724, -84.32083114 30.37473638, -84.32085605 30.36098851, -84.33670948 30.36100916, -84.33673218 30.34726124, -84.35258341 30.34727997, -84.35260390 30.33353202, -84.36845293 30.33354884, -84.36847121 30.31980084, -84.38431804 30.31981575, -84.38433412 30.30606771, -84.24173269 30.30586481, -84.24180446 30.27836869, -84.08340342 30.27796185)))"
