"project","filename","geometry"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.63150825 28.28632130, -82.52956974 28.28750120, -82.53086270 28.37773746, -82.63288729 28.37655314, -82.63150825 28.28632130))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x34y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.63288729 28.37655314, -82.53086270 28.37773746, -82.53216164 28.46797248, -82.63427271 28.46678371, -82.63288729 28.37655314))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x35y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.52700163 28.10702492, -82.42522819 28.10812049, -82.42642396 28.19836339, -82.52828272 28.19726368, -82.52700163 28.10702492))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x35y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.52828272 28.19726368, -82.42642396 28.19836339, -82.42762527 28.28860505, -82.52956974 28.28750120, -82.52828272 28.19726368))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x35y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.52956974 28.28750120, -82.42762527 28.28860505, -82.42883214 28.37884546, -82.53086270 28.37773746, -82.52956974 28.28750120))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x35y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.53086270 28.37773746, -82.42883214 28.37884546, -82.43004458 28.46908464, -82.53216164 28.46797248, -82.53086270 28.37773746))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x36y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.42522819 28.10812049, -82.32344923 28.10914058, -82.32455967 28.19938732, -82.42642396 28.19836339, -82.42522819 28.10812049))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x36y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.42642396 28.19836339, -82.32455967 28.19938732, -82.32567526 28.28963284, -82.42762527 28.28860505, -82.42642396 28.19836339))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x36y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.42762527 28.28860505, -82.32567526 28.28963284, -82.32679600 28.37987712, -82.42883214 28.37884546, -82.42762527 28.28860505))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x36y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.42883214 28.37884546, -82.32679600 28.37987712, -82.32792192 28.47012017, -82.43004458 28.46908464, -82.42883214 28.37884546))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x37y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.32344923 28.10914058, -82.22166514 28.11008516, -82.22269024 28.20033547, -82.32455967 28.19938732, -82.32344923 28.10914058))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x37y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.32455967 28.19938732, -82.22269024 28.20033547, -82.22372008 28.29058456, -82.32567526 28.28963284, -82.32455967 28.19938732))"
